Banda;Palco;DiaI;Inicio;DiaF;Fim;MB
Kvelertak;LOUDER;2019-08-03;14:30;2019-08-03;15:30;
Kärbholz;W:E:T STAGE;2019-08-02;20:10;2019-08-02;21:10;
Lagerstein;WACKINGER STAGE;2019-07-31;15:30;2019-07-31;16:15;
Legion Of The Damned;;;;;;
Metal Battle Winner China - Leviathan;HISTORY STAGE;2019-08-02;15:00;2019-08-02;15:30;
Life of Agony;LOUDER;2019-08-02;15:25;2019-08-02;16:25;
Lucifer Star Machine;WASTELAND STAGE;2019-08-02;12:00;2019-08-02;12:45;
Manticora;;;;;;
Meshuggah;;;;;;
Michale Graves;;;;;;
Molllust;WASTELAND STAGE;2019-08-03;13:30;2019-08-03;14:15;
Metal Battle Winner USA - Monarch;HISTORY STAGE;2019-08-01;19:00;2019-08-01;19:30;SIM
Mono Inc.;W:E:T STAGE;2019-08-03;23:40;2019-08-03;00:40;
Monstagon;WASTELAND STAGE;2019-08-01;20:45;2019-08-01;21:30;
Monster Magnet;HEADBANGERS STAGE;2019-08-03;20:10;2019-08-03;21:10;
Metal Battle Winner Iceland - Morpholith;HISTORY STAGE;2019-08-01;22:00;2019-08-01;22:30;SIM
Mr. Hurley & Die Pulveraffen;WASTELAND STAGE;2019-08-01;23:00;2019-08-01;00:00;
Myrath;W:E:T STAGE;2019-08-02;11:00;2019-08-02;11:45;
Nachtblut;WASTELAND STAGE;2019-08-03;21:00;2019-08-03;22:00;
Nailed To Obscurity;W:E:T STAGE;2019-08-02;14:20;2019-08-02;15:25;
Nashville Pussy;BEERGARDEN STAGE;2019-08-02;21:30;2019-08-02;22:30;
Nasty;HEADBANGERS STAGE;2019-08-02;15:35;2019-08-02;16:20;
Necrophobic;HEADBANGERS STAGE;2019-08-01;18:20;2019-08-01;19:10;
Night In Gales;HISTORY STAGE;2019-08-03;21:00;2019-08-03;22:00;
Nordjevel;W:E:T STAGE;2019-08-01;17:25;2019-08-01;18:10;
Of Mice & Men;HARDER;2019-08-03;15:45;2019-08-03;17:00;
Operus;WASTELAND STAGE;2019-08-03;15:00;2019-08-03;15:45;
Opeth;;;;;;
Paddy and The Rats;WASTELAND STAGE;2019-08-01;18:30;2019-08-01;19:15;
Parkway Drive;HARDER;2019-08-03;22:00;2019-08-03;23:45;
Powerwolf;FASTER;2019-08-03;20:30;2019-08-03;21:45;
Primordial;;;;;;
Prong;HEADBANGERS STAGE;2019-08-02;21:20;2019-08-02;22:20;
Prophets of Rage;FASTER;2019-08-03;17:15;2019-08-03;18:30;
Queensrÿche;HARDER;2019-08-02;11:55;2019-08-02;12:55;
Rage;;;;;;
Ragnaröek;WASTELAND STAGE;2019-08-01;12:30;2019-08-01;13:15;
Reckless Love;HEADBANGERS STAGE;2019-08-03;14:40;2019-08-03;15:25;
Reli2019-08-01ae;WASTELAND STAGE;2019-08-02;13:30;2019-08-02;14:15;
Metal Battle Winner Uruguay - Ritual de Nacimiento;HISTORY STAGE;2019-08-01;23:00;2019-08-01;23:30;SIM
Rose Tattoo;HEADBANGERS STAGE;2019-07-31;21:15;2019-07-31;22:15;
2019-08-03aton;FASTER;2019-08-01;22:00;2019-08-01;00:00;
Santiano;LOUDER;2019-08-02;18:00;2019-08-02;19:15;
Saor;WASTELAND STAGE;2019-08-03;19:30;2019-08-03;20:15;
Savage Messiah;WASTELAND STAGE;2019-08-02;18:45;2019-08-02;19:30;
Saxon;;;;;;
Septicflesh;HEADBANGERS STAGE;2019-08-03;18:20;2019-08-03;19:05;
Sibiir;WASTELAND STAGE;2019-08-01;22:15;2019-08-01;23:00;
SikTh;;;;;;
Skew Siskin;HEADBANGERS STAGE;2019-07-31;13:45;2019-07-31;14:45;
Skyclad;WASTELAND STAGE;2019-08-03;23:00;2019-08-03;00:00;
Skyline;FASTER;2019-08-01;14:30;2019-08-01;15:30;
Skynd;WASTELAND STAGE;2019-08-02;20:15;2019-08-02;21:00;
Skáld;WASTELAND STAGE;2019-08-01;17:00;2019-08-01;17:45;
Slayer;HARDER;2019-08-02;22:45;2019-08-02;00:15;
SOiL;;;;;;
Soul Demise;WASTELAND STAGE;2019-08-03;18:45;2019-08-03;19:30;
Stoneman;WASTELAND STAGE;2019-08-01;17:45;2019-08-01;18:30;
Subway to Sally;HARDER;2019-08-03;13:15;2019-08-03;14:15;
Suidakra;HEADBANGERS STAGE;2019-08-03;12:50;2019-08-03;13:35;
Sweet;W:E:T STAGE;2019-07-31;20:00;2019-07-31;21:00;
Tanzwut;WASTELAND STAGE;2019-08-02;21:00;2019-08-02;22:00;
Tausend Löwen Unter Feinden;HISTORY STAGE;2019-08-03;17:30;2019-08-03;18:30;
TesseracT;HEADBANGERS STAGE;2019-08-03;16:30;2019-08-03;17:15;
Testament;LOUDER;2019-08-01;17:00;2019-08-01;18:15;
The Adicts;HEADBANGERS STAGE;2019-07-31;18:15;2019-07-31;19:15;
The BossHoss;LOUDER;2019-08-01;20:00;2019-08-01;21:30;
The Crown;HISTORY STAGE;2019-08-02;22:45;2019-08-02;00:00;
The Damned;HEADBANGERS STAGE;2019-07-31;18:45;2019-07-31;19:45;
The Lazys;BEERGARDEN STAGE;2019-08-03;18:15;2019-08-03;19:15;
The Linewalkers;BEERGARDEN STAGE;2019-08-03;13:15;2019-08-03;14:00;
The Moon And The Nightspirit;WASTELAND STAGE;2019-08-02;15:00;2019-08-02;15:45;
The New Roses;W:E:T STAGE;2019-08-02;12:50;2019-08-02;13:35;
The Night Flight Orchestra;HEADBANGERS STAGE;2019-08-02;23:40;2019-08-02;00:40;
The O’Reillys and the Paddyhats;WASTELAND STAGE;2019-08-03;16:30;2019-08-03;17:15;
The 2019-08-01reboys;BEERGARDEN STAGE;2019-07-31;16:00;2019-07-31;17:00;
The Rumjacks;BEERGARDEN STAGE;2019-08-03;21:15;2019-08-03;22:15;
The Sinderellas;;;;;;
The Sisters of Mercy;W:E:T STAGE;2019-07-31;22:45;2019-07-31;23:45;
Metal Battle Winner Canada - The Slyde;HISTORY STAGE;2019-08-02;14:00;2019-08-02;14:30;
The Vintage Caravan;;;;;;
The Wild!;BEERGARDEN STAGE;2019-07-31;21:00;2019-07-31;22:00;
Thy Art Is Murder;W:E:T STAGE;2019-08-02;22:30;2019-08-02;23:30;
Torment;WASTELAND STAGE;2019-07-31;18:45;2019-07-31;19:30;
Metal Battle Winner Trainwreck - Trainwreck;HISTORY STAGE;2019-08-01;15:00;2019-08-01;15:30;SIM
Tribulation;;;;;;
tuXedoo;BEERGARDEN STAGE;2019-08-01;14:30;2019-08-01;15:15;
UFO;W:E:T STAGE;2019-07-31;17:30;2019-07-31;18:30;
Unleashed;W:E:T STAGE;2019-08-01;21:40;2019-08-01;22:40;
Uriah Heep;W:E:T STAGE;2019-08-03;19:15;2019-08-03;20:00;
Vampire;W:E:T STAGE;2019-08-01;15:35;2019-08-01;16:20;
Metal Battle Winner Poland - Vane;;;;;;
Metal Battle Winner Japan - Vanishing;HISTORY STAGE;2019-08-01;17:00;2019-08-01;17:30;SIM
Velvet Viper;BEERGARDEN STAGE;2019-07-31;19:30;2019-07-31;20:30;
Venom Inc.;HEADBANGERS STAGE;2019-08-02;17:25;2019-08-02;18:10;
Metal Battle Winner Egypt - Veritatem Solam;HISTORY STAGE;2019-08-01;18:00;2019-08-01;18:30;SIM
